逋,幫
𥂈,幫
晡,幫
庯,幫
𧻷,幫
峬,幫
抪,幫
枯,溪
刳,溪
郀,溪
軲,溪
㱠,溪
跍,溪
挎,溪
麤,清
麁,清
𧆓,清
𥼡,清
𤿚,清
㻌,透
稌,透
嶀,透
㻯,透
𡸂,透
庩,透
䞮,透
㻬,透
䩣,透
都,端
𥳉,端
𦘴,端
𧷿,端
䩲,端
𥠵,滂
𩹲,滂
𨁏,滂
䮒,滂
𢼹,滂
齊,從
臍,從
蠐,從
𪗍,從
懠,從
䶒,從
黎,來
犁,來
𤛿,來
黧,來
藜,來
𦃇,來
盠,來
邌,來
𨛫,來
廲,來
瓈,來
𥌛,來
𩧋,來
㦒,來
𨿯,來
妻,清
萋,清
淒,清
凄,清
悽,清
鶈,清
緀,清
霋,清
低,端
袛,端
磾,端
鞮,端
腣,端
羝,端
䧑,端
奃,端
趆,端
鍉,端
柢,端
𥿄,端
㓳,端
嗁,定
啼,定
㖒,定
蹏,定
蹄,定
𥶛,定
瑅,定
題,定
𧡨,定
綈,定
罤,定
𣹲,定
𣖅,定
締,定
蕛,定
稊,定
𦯔,定
䬾,定
鵜,定
䱱,定
崹,定
鷤,定
騠,定
䨑,定
𥉘,定
𢔭,定
𡰄,定
厗,定
𪂿,定
鶙,定
𨪉,定
銻,定
鮷,定
趧,定
𧋘,定
豍,幫
㡙,幫
螕,幫
𦱔,幫
蓖,幫
篦,幫
𥏠,幫
狴,幫
鎞,幫
䚜,幫
雞,見
鷄,見
枅,見
笄,見
㮷,見
䗗,見
𨪴,見
奚,匣
豯,匣
㜎,匣
蹊,匣
榽,匣
騱,匣
𡗞,匣
郋,匣
𪓷,匣
傒,匣
嵇,匣
兮,匣
鼷,匣
蒵,匣
貕,匣
